Customer ID,Gender,Age,Married,Number of Dependents,Number of Referrals,Tenure in Months,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Customer Status
0002-ORFBO,Female,37,Yes,0,2,9,Yes,42.39,No,Cable,No,Yes,No,Yes,Yes,No,No,Yes,One Year,Yes,Credit Card,65.6,593.3,Stayed
0003-MKNFE,Male,46,No,0,0,9,Yes,10.69,Yes,Cable,No,No,No,No,No,Yes,Yes,No,Month-to-Month,No,Credit Card,-4,542.4,Stayed
0004-TLHLJ,Male,50,No,0,0,4,Yes,33.65,No,Fiber Optic,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,73.9,280.85,Churned
0011-IGKFF,Male,78,Yes,0,1,13,Yes,27.82,No,Fiber Optic,No,Yes,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,98,1237.85,Churned
0013-EXCHZ,Female,75,Yes,0,3,3,Yes,7.38,No,Fiber Optic,No,No,No,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,83.9,267.4,Churned
0013-MHZWF,Female,23,No,3,0,9,Yes,16.77,No,Cable,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,69.4,571.45,Stayed
0013-SMEOE,Female,67,Yes,0,1,71,Yes,9.96,No,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,109.7,7904.25,Stayed
0014-BMAQU,Male,52,Yes,0,8,63,Yes,12.96,Yes,Fiber Optic,Yes,No,No,Yes,No,No,No,No,Two Year,Yes,Credit Card,84.65,5377.8,Stayed
0015-UOCOJ,Female,68,No,0,0,7,Yes,10.53,No,DSL,Yes,No,No,No,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,48.2,340.35,Stayed
0016-QLJIS,Female,43,Yes,1,3,65,Yes,28.46,Yes,Cable,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,90.45,5957.9,Stayed
0017-DINOC,Male,47,No,0,0,54,No,0,PhoneServiceUserOnly,Cable,Yes,No,No,Yes,Yes,No,No,Yes,Two Year,No,Credit Card,45.2,2460.55,Stayed
0017-IUDMW,Female,25,Yes,2,2,72,Yes,16.01,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,116.8,8456.75,Stayed
0018-NYROU,Female,58,Yes,0,0,5,Yes,18.65,No,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,68.95,351.5,Stayed
0019-EFAEP,Female,32,No,0,0,72,Yes,2.25,Yes,Fiber Optic,Yes,Yes,Yes,No,Yes,No,No,Yes,Two Year,Yes,Bank Withdrawal,101.3,7261.25,Stayed
0019-GFNTW,Female,39,No,0,0,56,No,0,PhoneServiceUserOnly,DSL,Yes,Yes,Yes,Yes,No,No,No,Yes,Two Year,No,Bank Withdrawal,45.05,2560.1,Stayed
0020-INWCK,Female,58,Yes,2,9,71,Yes,27.26,Yes,Fiber Optic,No,Yes,Yes,No,No,Yes,Yes,Yes,Two Year,Yes,Credit Card,95.75,6849.4,Stayed
0020-JDNXP,Female,52,Yes,1,0,34,No,0,PhoneServiceUserOnly,DSL,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Credit Card,61.25,1993.2,Stayed
0021-IKXGC,Female,72,No,0,0,1,Yes,7.77,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,72.1,72.1,Joined
0022-TCJCI,Male,79,No,0,0,45,Yes,10.67,No,DSL,Yes,No,Yes,No,No,Yes,No,Yes,One Year,No,Credit Card,62.7,2791.5,Churned
0023-HGHWL,Male,67,No,0,0,1,No,0,PhoneServiceUserOnly,Cable,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,25.1,25.1,Churned
0023-UYUPN,Female,79,Yes,0,0,50,Yes,31.43,Yes,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,One Year,No,Bank Withdrawal,25.2,1306.3,Stayed
0023-XUOPT,Female,26,Yes,0,1,13,Yes,43.56,Yes,Fiber Optic,No,Yes,Yes,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,94.1,1215.6,Churned
0027-KWYKW,Female,30,Yes,2,1,23,Yes,34.91,Yes,Fiber Optic,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,83.75,1849.95,Stayed
